Stimulus ID, ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Phase 2 Response,Phase 1 Response,Final Score,,,Phase 2 Response,Phase 1 Response,,,,,,,
17,1,0,700748,0,11680,74.85036105,29.42132114,71.43292849,4.953539232,6.264,6.36,6.312,,Sum,3715.403482,4193.807018,220011862.7,33732912.97,1872658.568,17977.86521,5632.842718,18802.24351,2599.932065
18,31,40,497416,336102,10198,38.61948145,22.51740242,61.15128978,15.25391419,5.368,5.744,5.556,,Count,326,326,326,326,326,326,326,326,326
19,15,21,1113113,130922,553,10.25297916,2.29177208,44.37648715,10.64710202,5.837837838,5.81981982,5.828828829,,,,,,,,,,,
20,5,7,1424112,100085,4330,13.49906334,4.041324101,27.42245479,10.31389887,5.96124031,5.930232558,5.945736434,,,,,,,,,,,
21,8,12,850209,185080,16,33.98467893,21.65634304,48.06271787,9.538085722,4.982905983,5.153846154,5.068376068,,,,,,,,,,,
22,4,12,474633,63863,124,23.60084666,8.004577733,42.96933947,5.439569169,5.807017544,6.149122807,5.978070175,,,,,,,,,,,
23,30,33,243313,332811,2350,20.68673171,0.868603029,1.642849411,11.1307781,4.168141593,4.203539823,4.185840708,,,,,,,,,,,
24,12,8,176835,51238,1300,102.3186213,20.7945122,81.49473379,4.584560702,4.983050847,5.177966102,5.080508475,,,,,,,,,,,
25,4,8,554206,27771,3181,59.80514457,12.79177313,58.53583582,5.423107521,5.058823529,5.382352941,5.220588235,,,,,,,,,,,
26,0,0,1089600,0,12214,82.63725128,16.23804193,79.98812582,6.822415366,6.124031008,6.271317829,6.197674419,,,,,,,,,,,
27,1,26,8979,203442,4,6.644018999,3.862437726,24.47178195,5.728000643,3.38372093,3.546511628,3.465116279,,,,,,,,,,,
28,0,0,1448172,0,1375,21.19489398,32.0391991,42.82646477,8.064297318,5.56122449,5.673469388,5.617346939,,,,,,,,,,,
29,10,12,982541,68145,25,22.61341603,8.626154149,60.76710596,8.592395196,4.8,5.034782609,4.917391304,,,,,,,,,,,
30,5,5,341887,6619,169,36.33543294,15.80968238,23.00129811,3.520915552,4.982142857,5.125,5.053571429,,,,,,,,,,,
31,1,1,398622,16666,1114,151.950427,11.73981448,101.7678393,4.213098655,4.448275862,4.577586207,4.512931034,,,,,,,,,,,
32,3,2,784446,25339,1036,29.69205619,8.553406536,40.28633309,5.925774923,5.212389381,5.309734513,5.261061947,,,,,,,,,,,
33,53,24,935180,76322,25489,34.457425,3.775541595,29.52131669,12.45229722,5.033613445,5.210084034,5.121848739,,,,,,,,,,,
34,1,1,1100686,1695,8215,77.546861,24.98625032,64.68109128,6.953012168,5.782608696,6.008695652,5.895652174,,,,,,,,,,,
